None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
84,AAPL,1981-04-14,27.88,28.0,27.88,27.88,29700.0,0.0,1.0,0.40991446729529,0.41167880503113,0.40991446729529,0.40991446729529,1663200.0
85,AAPL,1981-04-15,26.63,26.63,26.5,26.5,152000.0,0.0,1.0,0.39153594921354,0.39153594921354,0.38962458333304,0.38962458333304,8512000.0
86,AAPL,1981-04-16,25.12,25.12,25.0,25.0,106600.0,0.0,1.0,0.36933469937079,0.36933469937079,0.36757036163494,0.36757036163494,5969600.0
87,AAPL,1981-04-20,25.75,25.87,25.75,25.75,157800.0,0.0,1.0,0.37859747248399,0.38036181021984,0.37859747248399,0.37859747248399,8836800.0
88,AAPL,1981-04-21,27.5,27.62,27.5,27.5,127400.0,0.0,1.0,0.40432739779844,0.40609173553428,0.40432739779844,0.40432739779844,7134400.0
89,AAPL,1981-04-22,28.5,28.62,28.5,28.5,84800.0,0.0,1.0,0.41903021226383,0.42079454999968,0.41903021226383,0.41903021226383,4748800.0
90,AAPL,1981-04-23,29.25,29.37,29.25,29.25,259000.0,0.0,1.0,0.43005732311288,0.43182166084873,0.43005732311288,0.43005732311288,14504000.0
91,AAPL,1981-04-24,29.25,29.25,29.0,29.0,156500.0,0.0,1.0,0.43005732311288,0.43005732311288,0.42638161949653,0.42638161949653,8764000.0
92,AAPL,1981-04-27,28.87,28.87,28.75,28.75,172000.0,0.0,1.0,0.42447025361603,0.42447025361603,0.42270591588018,0.42270591588018,9632000.0
93,AAPL,1981-04-28,28.38,28.38,28.25,28.25,143700.0,0.0,1.0,0.41726587452798,0.41726587452798,0.41535450864748,0.41535450864748,8047200.0
94,AAPL,1981-04-29,28.0,28.0,27.88,27.88,60900.0,0.0,1.0,0.41167880503113,0.41167880503113,0.40991446729529,0.40991446729529,3410400.0
95,AAPL,1981-04-30,28.38,28.62,28.38,28.38,56300.0,0.0,1.0,0.41726587452798,0.42079454999968,0.41726587452798,0.41726587452798,3152800.0
96,AAPL,1981-05-01,28.38,28.62,28.38,28.38,73900.0,0.0,1.0,0.41726587452798,0.42079454999968,0.41726587452798,0.41726587452798,4138400.0
97,AAPL,1981-05-04,28.38,28.38,28.25,28.25,64500.0,0.0,1.0,0.41726587452798,0.41726587452798,0.41535450864748,0.41535450864748,3612000.0
98,AAPL,1981-05-05,28.25,28.25,28.12,28.12,78300.0,0.0,1.0,0.41535450864748,0.41535450864748,0.41344314276698,0.41344314276698,4384800.0
99,AAPL,1981-05-06,27.5,27.5,27.38,27.38,84600.0,0.0,1.0,0.40432739779844,0.40432739779844,0.40256306006259,0.40256306006259,4737600.0
100,AAPL,1981-05-07,27.75,27.88,27.75,27.75,41800.0,0.0,1.0,0.40800310141478,0.40991446729529,0.40800310141478,0.40800310141478,2340800.0
