Symbol,Date,Close,High,Low,Open,Volume
IBM,2009-11-04,121.29,122.5,121.16,121.46,6353648
IBM,2009-11-05,123.1,123.5,122.0,122.12,6703852
IBM,2009-11-06,123.49,123.49,122.23,122.51,4979517
IBM,2009-11-09,126.0,126.0,123.49,123.92,7767199
IBM,2009-11-10,126.91,127.05,125.17,125.3,6444507
IBM,2009-11-11,127.19,127.3,125.94,126.55,6531368
IBM,2009-11-12,126.26,127.65,126.11,126.61,5345379
IBM,2009-11-13,127.03,127.8,126.27,126.41,4955544
IBM,2009-11-16,128.21,128.24,127.03,127.17,7975416
IBM,2009-11-17,128.63,128.655,127.4,127.43,7910332
IBM,2009-11-18,128.15,128.35,127.55,128.05,3970158
IBM,2009-11-19,127.54,127.84,126.51,127.28,5309025
IBM,2009-11-20,126.96,127.69,126.46,127.17,5354701
IBM,2009-11-23,128.2,128.94,127.65,127.7,7003414
IBM,2009-11-24,127.93,128.32,127.14,127.9,4822106
IBM,2009-11-25,127.28,128.22,127.08,127.88,3970966
IBM,2009-11-26,127.28,128.22,127.08,127.88,0
IBM,2009-11-27,125.7,126.62,124.26,124.59,3319189
IBM,2009-11-30,126.35,126.6,124.92,125.12,6302942
IBM,2009-12-01,127.94,128.39,126.85,127.29,6578504
IBM,2009-12-02,127.21,128.39,127.16,127.32,4599675
IBM,2009-12-03,127.55,128.47,127.25,127.6,5759913
IBM,2009-12-04,127.25,128.9,126.0,128.4,7068967
IBM,2009-12-07,127.04,127.53,126.59,126.88,4144680
IBM,2009-12-08,126.8,127.35,126.16,126.97,5351458
IBM,2009-12-09,128.39,128.39,126.11,126.7,6071919
IBM,2009-12-10,129.34,129.47,128.09,128.13,7077907
IBM,2009-12-11,129.68,129.77,128.71,129.01,6599285
IBM,2009-12-14,129.93,129.98,129.6,129.65,5202187
IBM,2009-12-15,128.49,129.86,127.94,129.46,8033372
IBM,2009-12-16,128.71,129.6,128.35,128.74,6372736
IBM,2009-12-17,127.4,128.56,127.12,128.0,5910454
IBM,2009-12-18,127.91,128.39,127.0,127.97,9106601
IBM,2009-12-21,128.65,128.94,127.68,127.8,4775164
IBM,2009-12-22,129.93,129.98,129.19,129.3,5535651
IBM,2009-12-23,130.0,130.0,129.3,129.7,4129112
IBM,2009-12-24,130.57,130.57,129.48,129.89,4265079
IBM,2009-12-25,130.57,130.57,129.48,129.89,0
IBM,2009-12-28,132.31,132.31,130.72,130.99,5801087
IBM,2009-12-29,131.85,132.37,131.8,132.28,4184782
IBM,2009-12-30,132.57,132.68,130.68,131.23,3863874
IBM,2009-12-31,130.9,132.85,130.75,132.41,4225128
IBM,2010-01-01,130.9,132.85,130.75,132.41,0
IBM,2010-01-04,132.45,132.97,130.85,131.18,6155846
IBM,2010-01-05,130.85,131.85,130.1,131.68,6842471
IBM,2010-01-06,130.0,131.49,129.81,130.68,5605290
IBM,2010-01-07,129.55,130.25,128.91,129.87,5840569
IBM,2010-01-08,130.85,130.9199,129.05,129.07,4197105
IBM,2010-01-11,129.48,131.06,128.67,131.06,5731177
IBM,2010-01-12,130.51,131.33,129.0,129.03,8083354
IBM,2010-01-13,130.23,131.12,129.16,130.39,6458302
IBM,2010-01-14,132.31,132.71,129.91,130.55,7114544
IBM,2010-01-15,131.78,132.89,131.089,132.03,8502320
IBM,2010-01-18,131.78,132.89,131.089,132.03,0
IBM,2010-01-19,134.14,134.25,131.56,131.63,13916168
IBM,2010-01-20,130.25,131.15,128.95,130.46,15201857
IBM,2010-01-21,129.0,130.69,128.06,130.47,9608696
IBM,2010-01-22,125.5,128.89,125.37,128.67,10089325
IBM,2010-01-25,126.12,126.895,125.71,126.33,5738920
IBM,2010-01-26,125.75,127.75,125.41,125.92,7136640
IBM,2010-01-27,126.33,126.96,125.04,125.82,8719447
IBM,2010-01-28,123.75,127.04,123.05,127.03,9622829
IBM,2010-01-29,122.39,125.0,121.9,124.32,11572387
IBM,2010-02-01,124.67,124.95,122.78,123.23,7249873
IBM,2010-02-02,125.53,125.81,123.95,124.79,5900187
IBM,2010-02-03,125.66,126.07,125.07,125.16,4177981
IBM,2010-02-04,123.0,125.44,122.9,125.19,9129991
IBM,2010-02-05,123.52,123.72,121.83,123.04,8618019
IBM,2010-02-08,121.88,123.22,121.74,123.15,5719389
IBM,2010-02-09,123.21,124.2,122.46,122.65,6044966
IBM,2010-02-10,122.81,123.65,122.21,122.94,5219260
IBM,2010-02-11,123.73,124.2,122.06,122.58,5091096
IBM,2010-02-12,124.0,124.05,121.61,123.01,8018236
IBM,2010-02-15,124.0,124.05,121.61,123.01,0
IBM,2010-02-16,125.23,125.23,124.11,124.89,6777265
IBM,2010-02-17,126.33,126.53,125.21,125.42,5827357
IBM,2010-02-18,127.81,128.0,126.0,126.08,5527576
IBM,2010-02-19,127.19,128.06,126.8724,127.31,6303678
IBM,2010-02-22,126.85,127.43,126.31,127.13,3808077
IBM,2010-02-23,126.46,127.66,126.0,126.42,4594376
IBM,2010-02-24,127.59,128.27,126.81,127.0,4782100
IBM,2010-02-25,127.07,127.24,125.57,126.1,5658776
IBM,2010-02-26,127.16,128.0,126.74,126.97,4784139
IBM,2010-03-01,128.57,128.83,127.47,127.75,4577715
IBM,2010-03-02,127.42,129.09,127.13,128.65,6013437
IBM,2010-03-03,126.88,128.02,126.68,127.51,6389967
IBM,2010-03-04,126.72,127.07,125.47,126.82,6032328
IBM,2010-03-05,127.25,127.55,127.04,127.1,6140472
IBM,2010-03-08,126.41,127.5,126.36,127.24,6199570
IBM,2010-03-09,125.55,126.29,125.2,126.25,7529306
IBM,2010-03-10,125.62,126.36,125.21,125.91,6917512
IBM,2010-03-11,127.6,127.81,125.71,125.88,7929401
IBM,2010-03-12,127.94,128.37,127.51,127.9,5170094
IBM,2010-03-15,127.83,128.34,127.28,127.46,4544089
IBM,2010-03-16,128.67,128.88,127.45,128.07,6135031
IBM,2010-03-17,127.76,128.93,127.36,128.66,6348995
IBM,2010-03-18,128.38,128.75,127.45,127.57,4954633
IBM,2010-03-19,127.71,128.93,126.78,128.84,10010940
IBM,2010-03-22,127.98,128.39,126.57,127.11,5651866
IBM,2010-03-23,129.37,129.43,127.64,127.89,5979298
IBM,2010-03-24,128.53,129.95,128.47,128.67,6669246
IBM,2010-03-25,129.24,130.73,129.13,129.31,7605394
IBM,2010-03-26,129.26,129.78,128.7205,129.0,5550705
IBM,2010-03-29,128.59,129.95,128.26,129.25,4643265
IBM,2010-03-30,128.77,129.13,128.25,128.73,3426538
IBM,2010-03-31,128.25,128.75,127.65,128.27,4904711
IBM,2010-04-01,128.25,129.31,127.55,128.88,4980625
IBM,2010-04-02,128.25,129.31,127.55,128.88,0
IBM,2010-04-05,129.35,129.8,128.14,128.29,4118884
IBM,2010-04-06,128.93,129.3,128.05,128.65,3926409
IBM,2010-04-07,128.48,129.27,128.01,128.53,5157358
IBM,2010-04-08,127.61,128.23,127.2,127.91,6006833
IBM,2010-04-09,128.76,128.87,127.12,127.62,5186516
IBM,2010-04-12,128.36,128.956,128.24,128.57,3984302
IBM,2010-04-13,129.03,129.435,127.84,128.26,6805580
IBM,2010-04-14,131.25,131.42,129.46,129.83,8545857
IBM,2010-04-15,130.89,131.14,130.1902,130.53,6425399
IBM,2010-04-16,130.63,132.17,130.25,130.76,9549798
IBM,2010-04-19,132.23,132.28,130.38,130.52,11353679
IBM,2010-04-20,129.69,130.33,128.26,129.21,15218573
IBM,2010-04-21,128.99,130.27,128.5,130.0,7560015
IBM,2010-04-22,129.13,129.36,127.77,128.64,6018690
IBM,2010-04-23,129.99,130.1,128.71,128.91,6197382
IBM,2010-04-26,130.73,131.04,129.54,129.57,5285484
IBM,2010-04-27,128.82,132.0,128.71,129.8,10917510
IBM,2010-04-28,130.1,130.47,129.03,129.28,7123602
IBM,2010-04-29,130.46,131.21,130.15,130.7,5786888
IBM,2010-04-30,129.0,130.636,128.84,130.46,6266689
IBM,2010-05-03,129.6,130.14,128.8,129.34,4992019
IBM,2010-05-04,128.12,128.93,126.5754,128.63,8285289
IBM,2010-05-05,127.46,128.23,126.87,127.01,6072834
IBM,2010-05-06,123.92,127.93,116.0,126.49,13169697
IBM,2010-05-07,122.1,124.39,120.0,123.17,10585340
IBM,2010-05-10,126.27,126.67,125.06,125.84,8464250
IBM,2010-05-11,126.89,128.42,125.15,125.4,6499773
IBM,2010-05-12,132.68,132.85,127.01,127.01,16629704
IBM,2010-05-13,131.48,133.1,130.85,130.85,10498358
IBM,2010-05-14,131.19,131.67,129.41,131.29,9920567
IBM,2010-05-17,130.44,131.76,128.7,130.55,8924745
IBM,2010-05-18,129.95,131.99,129.9,131.21,9332110
IBM,2010-05-19,128.86,130.5,127.82,129.62,8669840
IBM,2010-05-20,123.8,127.96,123.68,126.98,13178148
IBM,2010-05-21,125.42,125.61,121.4,121.83,12639577
IBM,2010-05-24,124.45,126.02,124.04,125.15,6876074
IBM,2010-05-25,124.52,124.95,121.47,121.62,9498873
IBM,2010-05-26,123.23,125.94,123.0,124.61,9085936
IBM,2010-05-27,126.39,126.39,124.77,124.86,7726560
IBM,2010-05-28,125.26,126.2794,124.29,125.85,7422373
IBM,2010-05-31,125.26,126.2794,124.29,125.85,0
IBM,2010-06-01,124.34,126.88,124.2,125.0,7136082
IBM,2010-06-02,127.41,127.5,124.35,124.81,7705556
IBM,2010-06-03,127.96,128.22,126.46,127.46,6645219
IBM,2010-06-04,125.28,127.1,124.67,126.43,9669111
IBM,2010-06-07,124.13,125.86,124.13,125.5,6951325
IBM,2010-06-08,123.72,124.46,122.82,124.11,8399126
IBM,2010-06-09,123.9,125.84,123.58,124.56,7800309
IBM,2010-06-10,127.68,128.22,125.8,126.45,7479610
IBM,2010-06-11,128.45,128.8,126.44,127.17,5827093
IBM,2010-06-14,128.5,129.97,128.49,128.5,6753113
IBM,2010-06-15,129.79,129.95,128.37,128.8,6652612
IBM,2010-06-16,130.35,130.68,128.34,128.45,6400971
IBM,2010-06-17,130.98,131.03,129.86,130.11,5575129
IBM,2010-06-18,130.15,131.25,130.13,130.96,9581587
IBM,2010-06-21,130.65,131.94,130.22,131.36,6857800
IBM,2010-06-22,129.3,131.47,129.07,130.35,6030623
IBM,2010-06-23,130.11,131.47,129.09,129.3,6855741
